epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.073,0.34677,0.62993,0.04121,0.00124,8e-05,0.00095,0.00032,2.32166,2.54071,0.23593,0.000370163,0.000370163,0.000370163
2,270.87,0.89357,0.74513,0.10619,0.01281,0.00416,0.00788,0.00237,2.25453,1.69069,0.23403,0.000711172,0.000711172,0.000711172
3,413.095,0.88786,0.63136,0.10645,0.22489,0.00217,0.00473,0.00137,2.51812,1.81215,0.25294,0.00102285,0.00102285,0.00102285
4,552.595,0.83289,0.56179,0.10163,0.01227,0.00386,0.00866,0.00251,2.44032,1.52287,0.25023,0.000979013,0.000979013,0.000979013
5,695.215,0.89939,0.56055,0.10958,0.24364,0.00231,0.00879,0.00204,2.60856,1.48875,0.26025,0.000935018,0.000935018,0.000935018
6,829.692,0.93003,0.5651,0.11478,0.0288,0.00536,0.01739,0.00524,2.42066,1.51269,0.25588,0.000891022,0.000891022,0.000891022
7,963.02,0.96895,0.57603,0.11813,0.02796,0.00566,0.01742,0.00483,2.55125,1.55592,0.26201,0.000847026,0.000847026,0.000847026
8,1102.33,0.91948,0.53128,0.11307,0.0331,0.00452,0.01986,0.00505,2.52537,1.54252,0.25968,0.000803031,0.000803031,0.000803031
9,1234.93,0.95094,0.53198,0.11809,0.04289,0.0055,0.02538,0.00694,2.56463,1.61613,0.26444,0.000759035,0.000759035,0.000759035
10,1368.79,0.97961,0.51655,0.12076,0.2728,0.00448,0.01942,0.00417,2.60016,1.42421,0.26693,0.00071504,0.00071504,0.00071504
11,1501.25,1.00872,0.54375,0.12417,0.04931,0.00587,0.02859,0.00817,2.53864,1.47755,0.26682,0.000671044,0.000671044,0.000671044
12,1633.4,0.99362,0.51962,0.12216,0.04875,0.00595,0.02735,0.00723,2.53086,1.52368,0.26583,0.000627048,0.000627048,0.000627048
13,1764.54,0.92926,0.50489,0.11628,0.04041,0.0055,0.02414,0.00678,2.58151,1.43655,0.26866,0.000583053,0.000583053,0.000583053
14,1891.08,0.9775,0.51411,0.12202,0.05485,0.00639,0.03144,0.00794,2.56988,1.44744,0.27111,0.000539057,0.000539057,0.000539057
15,2017.54,0.9761,0.49678,0.12427,0.05027,0.00667,0.02902,0.00818,2.53396,1.4954,0.2693,0.000495062,0.000495062,0.000495062
16,2167.6,1.07897,0.56878,0.13548,0.05428,0.00717,0.03183,0.00937,2.52477,1.40089,0.26951,0.000451066,0.000451066,0.000451066
17,2300.18,1.08322,0.56251,0.14203,0.06619,0.00797,0.03811,0.00983,2.53799,1.37187,0.27223,0.00040707,0.00040707,0.00040707
18,2436.21,1.09533,0.56079,0.14565,0.07498,0.00881,0.04295,0.01356,2.45142,1.48438,0.27312,0.000363075,0.000363075,0.000363075
19,2571.17,1.12549,0.56909,0.15244,0.09589,0.01054,0.05393,0.01683,2.43248,1.39135,0.27854,0.000319079,0.000319079,0.000319079
20,2705.17,1.13085,0.58013,0.15592,0.096,0.0111,0.05391,0.01695,2.39023,1.41543,0.27669,0.000275084,0.000275084,0.000275084
21,2840.31,1.09016,0.54944,0.14818,0.10469,0.01216,0.05954,0.01993,2.38973,1.35698,0.28231,0.000231088,0.000231088,0.000231088
22,2975.27,1.11611,0.55416,0.15488,0.12895,0.01305,0.07212,0.02264,2.36423,1.37002,0.28259,0.000187092,0.000187092,0.000187092
23,3109.84,1.12886,0.58647,0.16196,0.14796,0.0148,0.08341,0.02674,2.33879,1.35059,0.28541,0.000143097,0.000143097,0.000143097
24,3244.11,1.11151,0.56988,0.1616,0.14743,0.01566,0.08365,0.02678,2.32795,1.31952,0.28506,9.91012e-05,9.91012e-05,9.91012e-05
25,3377.93,1.1182,0.56238,0.16495,0.15729,0.01551,0.08809,0.03002,2.29072,1.31258,0.28561,5.51056e-05,5.51056e-05,5.51056e-05
