epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.069,0.94243,0.54221,0.79413,0.87687,0.75408,0.8315,0.64308,0.87358,0.49789,0.79026,0.000369656,0.000369656,0.000369656
2,731.245,0.97697,0.56493,0.79541,0.87892,0.75775,0.83066,0.64463,0.85157,0.48203,0.78821,0.00071557,0.00071557,0.00071557
3,1081.61,0.9926,0.57612,0.7957,0.87555,0.74709,0.82232,0.62864,0.92053,0.5099,0.79095,0.00103704,0.00103704,0.00103704
4,1431.37,1.00266,0.58077,0.79511,0.88146,0.74821,0.82213,0.63274,0.86895,0.50012,0.78734,0.00100101,0.00100101,0.00100101
5,1787.82,0.99217,0.5677,0.7941,0.88077,0.75078,0.82435,0.63745,0.86874,0.48904,0.7875,0.000964348,0.000964348,0.000964348
6,2140.76,0.97005,0.55482,0.79211,0.87759,0.75585,0.82109,0.6366,0.84927,0.47942,0.78674,0.000927685,0.000927685,0.000927685
7,2493.47,0.94782,0.54277,0.7922,0.88648,0.75694,0.82943,0.64827,0.82182,0.46721,0.78465,0.000891022,0.000891022,0.000891022
8,2845.32,0.94185,0.54079,0.79203,0.88252,0.7559,0.82864,0.65063,0.79873,0.46095,0.78502,0.000854359,0.000854359,0.000854359
9,3195.26,0.92902,0.52694,0.79032,0.88262,0.75888,0.83173,0.65186,0.81042,0.45786,0.78304,0.000817696,0.000817696,0.000817696
10,3540.16,0.91362,0.52248,0.78997,0.88909,0.75772,0.83652,0.66305,0.77436,0.44178,0.78211,0.000781033,0.000781033,0.000781033
11,3888.51,0.9044,0.51474,0.7881,0.89391,0.76035,0.83641,0.66145,0.77874,0.44055,0.7818,0.00074437,0.00074437,0.00074437
12,4233.88,0.89324,0.50576,0.78769,0.89167,0.76272,0.83946,0.66762,0.75023,0.43036,0.78097,0.000707707,0.000707707,0.000707707
13,4578.43,0.87904,0.49792,0.7868,0.89126,0.76262,0.84054,0.6716,0.74786,0.42408,0.7807,0.000671044,0.000671044,0.000671044
14,4925.22,0.87161,0.49525,0.78787,0.89205,0.76137,0.83797,0.672,0.73617,0.42192,0.7808,0.000634381,0.000634381,0.000634381
15,5277.73,0.85672,0.48651,0.7861,0.89064,0.76026,0.83793,0.67045,0.73837,0.4178,0.78059,0.000597718,0.000597718,0.000597718
16,5632.47,0.85041,0.4809,0.78586,0.89346,0.76251,0.8367,0.67246,0.71243,0.40724,0.77953,0.000561055,0.000561055,0.000561055
17,5988.04,0.84166,0.47598,0.78483,0.89893,0.76499,0.84523,0.68208,0.70614,0.40335,0.7794,0.000524392,0.000524392,0.000524392
18,6347,0.82801,0.47005,0.78475,0.89449,0.76332,0.84126,0.67856,0.70295,0.40025,0.77849,0.000487729,0.000487729,0.000487729
19,6704.15,0.82515,0.46639,0.78447,0.89164,0.76727,0.84176,0.67687,0.70902,0.39909,0.77894,0.000451066,0.000451066,0.000451066
20,7063.2,0.81174,0.45952,0.78406,0.90097,0.76434,0.84587,0.68066,0.70423,0.39569,0.77838,0.000414403,0.000414403,0.000414403
21,7408.3,0.75363,0.43617,0.78479,0.90065,0.76442,0.84527,0.68763,0.6839,0.38959,0.77769,0.00037774,0.00037774,0.00037774
22,7751.41,0.73596,0.42733,0.78449,0.89642,0.76665,0.8449,0.68664,0.67796,0.38757,0.7774,0.000341077,0.000341077,0.000341077
23,8086.82,0.7251,0.42128,0.78421,0.90176,0.76396,0.84637,0.69005,0.66702,0.38111,0.77681,0.000304414,0.000304414,0.000304414
24,8427.34,0.71471,0.41666,0.78344,0.90048,0.76521,0.84659,0.69036,0.66836,0.37861,0.77646,0.000267751,0.000267751,0.000267751
25,8765.02,0.70467,0.40833,0.78234,0.90133,0.76729,0.8468,0.69036,0.6631,0.37507,0.77655,0.000231088,0.000231088,0.000231088
26,9102.7,0.69577,0.40417,0.78173,0.89687,0.76886,0.84572,0.6893,0.66487,0.37581,0.7764,0.000194425,0.000194425,0.000194425
27,9437.89,0.68842,0.4007,0.78178,0.8979,0.76829,0.84727,0.69321,0.65812,0.37081,0.77617,0.000157762,0.000157762,0.000157762
28,9773.03,0.67873,0.39365,0.78076,0.89847,0.7709,0.84862,0.69421,0.65688,0.36918,0.77593,0.000121099,0.000121099,0.000121099
29,10109,0.66907,0.38908,0.78053,0.89961,0.76891,0.84732,0.69436,0.65233,0.36606,0.77587,8.4436e-05,8.4436e-05,8.4436e-05
30,10443.4,0.66165,0.38542,0.78026,0.90049,0.76775,0.84579,0.69339,0.64929,0.36467,0.77555,4.7773e-05,4.7773e-05,4.7773e-05
